name,start,end,length,mfe,bestTSS,bestTSS_inside,mean_gc,mean_remap,cov_me3,cov_tfbs,cov_pol2,mean_pcons27,mean_pPcons27,mean_pPcons124
FBtr0078166,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0078167,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0078168,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0078169,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0306589,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0306590,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0306591,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0306592,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBtr0330655,9838,21376,11538,-3588.25,16.0,752.0,35.2418,113.95,1.0,0.958572,0.7935517420696828,0.484924,0.90166,2.7194
FBti0059810-RA.1.,9887,9949,62,-11.75,105.0,19.0,36.4516,2.19355,1.0,0.967742,1.0,0.41479,0.28529,0.135613
FBti0059810-RA.FlyBase.,9887,9949,62,-11.75,105.0,19.0,36.4516,2.19355,1.0,0.967742,1.0,0.41479,0.28529,0.135613
FBtr0078166.8,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0078167.8,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0078168.8,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0078169.9,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0078170.8,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0078171.9,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0306589.9,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0306590.8,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0306591.9,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0306592.10,11409,11518,109,-17.29,62.0,62.0,36.1468,7.97248,1.0,1.0,1.0,0.986266,2.07688,4.79715
FBtr0078166.7,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0078167.7,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0078168.7,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0078169.8,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0078170.7,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0078171.8,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0306589.8,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0306590.7,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0306591.8,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0306592.9,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0330655.8,11778,12221,443,-134.89,70.0,273.0,40.7675,31.0023,1.0,0.896163,1.0,0.856851,1.75182,6.32068
FBtr0078166.6,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0078167.6,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0078168.6,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0078169.7,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0078170.6,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0078171.7,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0306589.7,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0306590.6,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0306591.7,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0306592.8,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0330655.7,12285,12928,643,-245.70,48.0,304.0,48.5537,135.439,1.0,0.909798,1.0,0.953656,2.23832,7.23777
FBtr0078166.5,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0078167.5,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0078168.5,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0078169.6,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0078170.5,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0078171.6,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0306589.6,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0306590.5,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0306591.6,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0306592.7,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0330655.6,13519,13625,106,-34.62,41.0,41.0,46.6038,67.3302,1.0,0.783019,1.0,0.987066,2.56115,10.1272
FBtr0078166.4,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0078167.4,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0078168.4,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0078169.5,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0078170.4,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0078171.5,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0306589.5,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0306590.4,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0306591.5,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0306592.6,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0330655.5,13682,14874,1192,-409.03,151.0,151.0,43.3893,236.59,1.0,0.920302,1.0,0.929552,2.33007,8.71718
FBtr0078166.3,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0078167.3,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0078168.3,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0078169.4,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0078170.3,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0078171.4,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0306589.4,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0306590.3,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0306591.4,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0306592.5,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0330655.4,14932,15711,779,-273.92,74.0,752.0,45.1091,373.29,1.0,0.931964,1.0,0.958702,2.27764,9.55001
FBtr0078170.2,17052,17212,160,-37.35,27.0,52.0,40.625,34.3813,1.0,0.9,0.775,0.667106,1.58379,3.99881
FBtr0078171.3,17052,17212,160,-37.35,27.0,52.0,40.625,34.3813,1.0,0.9,0.775,0.667106,1.58379,3.99881
FBtr0306589.3,17052,17212,160,-37.35,27.0,52.0,40.625,34.3813,1.0,0.9,0.775,0.667106,1.58379,3.99881
FBtr0306590.2,17052,17212,160,-37.35,27.0,52.0,40.625,34.3813,1.0,0.9,0.775,0.667106,1.58379,3.99881
FBtr0306591.3,17052,17212,160,-37.35,27.0,52.0,40.625,34.3813,1.0,0.9,0.775,0.667106,1.58379,3.99881
FBtr0306592.4,17052,17212,160,-37.35,27.0,52.0,40.625,34.3813,1.0,0.9,0.775,0.667106,1.58379,3.99881
FBtr0330655.3,17052,17212,160,-37.35,27.0,52.0,40.625,34.3813,1.0,0.9,0.775,0.667106,1.58379,3.99881
FBtr0078170.1,18260,18570,310,-97.16,30.0,221.0,38.3871,3.13793,1.0,0.980645,0.2806451612903226,0.32369,0.352123,0.535571
FBtr0078171.1,18260,18570,310,-97.16,30.0,221.0,38.3871,3.13793,1.0,0.980645,0.2806451612903226,0.32369,0.352123,0.535571
FBtr0078168.2,19879,20015,136,-23.50,69.0,69.0,37.7941,21.1765,1.0,0.948529,0.5294117647058824,0.617949,1.07916,1.34214
FBtr0306589.2,19879,20015,136,-23.50,69.0,69.0,37.7941,21.1765,1.0,0.948529,0.5294117647058824,0.617949,1.07916,1.34214
FBtr0306592.3,19879,20015,136,-23.50,69.0,69.0,37.7941,21.1765,1.0,0.948529,0.5294117647058824,0.617949,1.07916,1.34214
FBtr0078167.2,19879,20020,141,-28.57,69.0,69.0,37.1631,20.7447,1.0,0.950355,0.5106382978723404,0.621922,1.04144,1.31087
FBtr0078169.3,19879,20020,141,-28.57,69.0,69.0,37.1631,20.7447,1.0,0.950355,0.5106382978723404,0.621922,1.04144,1.31087
FBtr0306591.2,19879,20020,141,-28.57,69.0,69.0,37.1631,20.7447,1.0,0.950355,0.5106382978723404,0.621922,1.04144,1.31087
FBtr0330655.2,19879,20020,141,-28.57,69.0,69.0,37.1631,20.7447,1.0,0.950355,0.5106382978723404,0.621922,1.04144,1.31087
FBtr0078166.2,19884,20020,136,-27.25,69.0,69.0,37.0588,20.4779,1.0,0.948529,0.49264705882352944,0.608022,1.02204,1.29529
FBtr0078167.1,21065,21376,311,-96.71,16.0,57.0,38.5209,6.21176,1.0,0.977492,0.2572347266881029,0.326309,0.356669,0.391116
FBtr0078168.1,21065,21376,311,-96.71,16.0,57.0,38.5209,6.21176,1.0,0.977492,0.2572347266881029,0.326309,0.356669,0.391116
FBtr0306591.1,21065,21376,311,-96.71,16.0,57.0,38.5209,6.21176,1.0,0.977492,0.2572347266881029,0.326309,0.356669,0.391116
FBtr0306592.1,21065,21376,311,-96.71,16.0,57.0,38.5209,6.21176,1.0,0.977492,0.2572347266881029,0.326309,0.356669,0.391116
FBtr0330655.1,21065,21376,311,-96.71,16.0,57.0,38.5209,6.21176,1.0,0.977492,0.2572347266881029,0.326309,0.356669,0.391116
FBtr0078166.1,21135,21376,241,-76.14,16.0,57.0,38.9212,6.21176,1.0,0.983402,0.07053941908713693,0.268573,0.283689,0.32144
FBtr0306589.1,21135,21376,241,-76.14,16.0,57.0,38.9212,6.21176,1.0,0.983402,0.07053941908713693,0.268573,0.283689,0.32144
FBtr0306590.1,21135,21376,241,-76.14,16.0,57.0,38.9212,6.21176,1.0,0.983402,0.07053941908713693,0.268573,0.283689,0.32144
FBtr0078169.1,21348,21376,28,-0.44,16.0,0.0,59.2857,9.5,1.0,1.0,0.0,0.706929,0.532607,0.5345
FBtr0113008.5,21822,22687,865,-309.56,10.0,194.0,44.3931,479.395,1.0,0.959538,1.0,0.698508,1.2513,3.76574
FBtr0113008,21822,25155,3333,-1156.19,120.0,194.0,41.8722,282.597,1.0,0.953195,0.6825682568256826,0.677172,1.36015,4.83735
FBtr0113008.4,22742,22935,193,-67.96,5.0,6.0,47.772,318.995,1.0,0.88601,0.0,0.955668,2.17162,8.63232
FBtr0113008.3,22993,23873,880,-318.45,2.0,28.0,46.4318,267.244,1.0,0.95,0.6534090909090909,0.924749,2.00447,8.23217
FBtr0113008.2,23928,24210,282,-79.59,6.0,6.0,41.3475,91.4362,1.0,0.929078,0.14184397163120568,0.932691,2.0135,6.7742
FBti0059812-RA.1.,24235,24462,227,-59.28,3.0,4.0,34.6256,19.8502,1.0,1.0,0.8502202643171806,0.0820132,0.00146696,0.297295
FBti0059812-RA.FlyBase.,24235,24462,227,-59.28,3.0,4.0,34.6256,19.8502,1.0,1.0,0.8502202643171806,0.0820132,0.00146696,0.297295
FBtr0113008.1,24746,25155,409,-128.40,120.0,24.0,39.7066,189.005,1.0,0.94132,0.6430317848410758,0.715912,1.35101,3.65845
FBtr0078163.13,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0078164.14,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0113416.13,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0309225.11,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0309226.14,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0309227.12,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0309228.14,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0309229.15,25401,26688,1287,-358.94,9.0,33.0,34.3434,114.334,1.0,0.972028,0.8477078477078477,0.686013,1.51116,2.62219
FBtr0078163.12,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0078164.13,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0113416.12,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0309225.10,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0309226.13,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0309227.11,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0309228.13,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0309229.14,26765,26964,199,-58.83,15.0,16.0,44.9246,20.3769,1.0,0.944724,0.5477386934673367,0.989513,3.48346,11.1673
FBtr0078163.11,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBtr0078164.12,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBtr0113416.11,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBtr0309225.9,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBtr0309226.12,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBtr0309227.10,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBtr0309228.12,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBtr0309229.13,27052,27490,438,-169.18,25.0,154.0,52.0091,62.6279,1.0,0.869863,0.8789954337899544,0.98413,3.6872,11.7015
FBti0059814-RA.1.,27529,27788,259,-56.81,5.0,5.0,36.7568,16.9807,1.0,0.945946,1.0,0.364259,0.368347,0.217158
FBti0059814-RA.FlyBase.,27529,27788,259,-56.81,5.0,5.0,36.7568,16.9807,1.0,0.945946,1.0,0.364259,0.368347,0.217158
FBtr0078163.10,28014,28240,226,-68.21,191.0,3309.0,46.1947,76.7832,1.0,0.973451,1.0,0.996177,3.80025,11.6483
FBtr0078164.11,28014,28240,226,-68.21,191.0,3309.0,46.1947,76.7832,1.0,0.973451,1.0,0.996177,3.80025,11.6483
FBtr0309225.8,28014,28240,226,-68.21,191.0,3309.0,46.1947,76.7832,1.0,0.973451,1.0,0.996177,3.80025,11.6483
FBtr0309226.11,28014,28240,226,-68.21,191.0,3309.0,46.1947,76.7832,1.0,0.973451,1.0,0.996177,3.80025,11.6483
FBtr0309227.9,28014,28240,226,-68.21,191.0,3309.0,46.1947,76.7832,1.0,0.973451,1.0,0.996177,3.80025,11.6483
FBtr0309228.11,28014,28240,226,-68.21,191.0,3309.0,46.1947,76.7832,1.0,0.973451,1.0,0.996177,3.80025,11.6483
FBtr0309229.12,28014,28240,226,-68.21,191.0,3309.0,46.1947,76.7832,1.0,0.973451,1.0,0.996177,3.80025,11.6483
FBtr0113416.10,28410,28639,229,-64.54,5.0,5.0,46.2882,35.8428,1.0,0.973799,0.0,0.967467,3.00377,7.71594
FBtr0078163.9,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0078164.10,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0113416.9,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0309225.7,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0309226.10,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0309227.8,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0309228.10,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0309229.11,28732,28926,194,-57.99,8.0,101.0,50.0,43.1186,1.0,0.963918,0.41237113402061853,0.985438,3.12186,10.0661
FBtr0078163.8,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0078164.9,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0113416.8,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0309225.6,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0309226.9,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0309227.7,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0309228.9,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0309229.10,28981,29068,87,-21.71,7.0,10.0,54.9425,21.3908,1.0,0.965517,0.0,0.915931,2.21569,5.47202
FBtr0078164.8,30393,33270,2877,-837.96,4.0,21.0,46.9169,10.8249,1.0,0.921098,0.9117135905457073,0.697333,1.35049,2.28511
FBtr0309228.8,30393,33270,2877,-837.96,4.0,21.0,46.9169,10.8249,1.0,0.921098,0.9117135905457073,0.697333,1.35049,2.28511
FBtr0078163.7,33844,34288,444,-128.99,86.0,86.0,49.955,190.966,1.0,0.927928,1.0,0.597658,1.08901,1.07777
FBtr0078164.7,33844,34288,444,-128.99,86.0,86.0,49.955,190.966,1.0,0.927928,1.0,0.597658,1.08901,1.07777
FBtr0113416.7,33844,34288,444,-128.99,86.0,86.0,49.955,190.966,1.0,0.927928,1.0,0.597658,1.08901,1.07777
FBtr0309226.8,33844,34288,444,-128.99,86.0,86.0,49.955,190.966,1.0,0.927928,1.0,0.597658,1.08901,1.07777
FBtr0309229.9,33844,34288,444,-128.99,86.0,86.0,49.955,190.966,1.0,0.927928,1.0,0.597658,1.08901,1.07777
FBtr0078163.6,34557,34604,47,-8.25,4.0,14.0,44.2553,7.21277,1.0,1.0,0.0,0.890936,2.14138,3.78021
FBtr0078164.6,34557,34604,47,-8.25,4.0,14.0,44.2553,7.21277,1.0,1.0,0.0,0.890936,2.14138,3.78021
FBtr0113416.6,34557,34604,47,-8.25,4.0,14.0,44.2553,7.21277,1.0,1.0,0.0,0.890936,2.14138,3.78021
FBtr0309226.7,34557,34604,47,-8.25,4.0,14.0,44.2553,7.21277,1.0,1.0,0.0,0.890936,2.14138,3.78021
FBtr0309227.6,34557,34604,47,-8.25,4.0,14.0,44.2553,7.21277,1.0,1.0,0.0,0.890936,2.14138,3.78021
FBtr0309228.7,34557,34604,47,-8.25,4.0,14.0,44.2553,7.21277,1.0,1.0,0.0,0.890936,2.14138,3.78021
FBtr0309229.8,34557,34604,47,-8.25,4.0,14.0,44.2553,7.21277,1.0,1.0,0.0,0.890936,2.14138,3.78021
FBtr0309226.6,34719,34912,193,-45.30,313.0,313.0,54.3005,27.8031,1.0,0.927461,1.0,0.876995,1.80672,3.71915
FBtr0078163.5,34719,35212,493,-105.89,17.0,400.0,50.8722,47.5517,1.0,0.945233,1.0,0.948602,2.22963,4.20003
FBtr0078164.5,34719,35212,493,-105.89,17.0,400.0,50.8722,47.5517,1.0,0.945233,1.0,0.948602,2.22963,4.20003
