name,start,end,length,bestTSS,bestTSS_inside,mean_gc,mean_remap,cov_me3,cov_tfbs,cov_pol2,mean_pcons27,mean_pPcons27,mean_pPcons124
FBtr0329833.1,439538,440104,566,4.0,67.0,44.9117,149.984,1.0,0.899293,1.0,0.617345,1.22904,1.17002
FBtr0347589,490834,492649,1815,28097.0,3964.0,44.3967,232.908,1.0,0.944904,1.0,0.60571,1.074,1.11051
FBtr0347589.1,490834,492649,1815,28097.0,3964.0,44.3967,232.908,1.0,0.944904,1.0,0.60571,1.074,1.11051
FBtr0347590,491878,492649,771,28.0,90.0,44.5396,157.449,1.0,0.957198,1.0,0.529117,1.0401,1.01157
FBtr0347590.1,491878,492649,771,28.0,90.0,44.5396,157.449,1.0,0.957198,1.0,0.529117,1.0401,1.01157
FBtr0347591,500872,502236,1364,19.0,29.0,47.9179,109.001,1.0,0.932551,1.0,0.653725,1.20308,1.17156
FBtr0347591.1,500872,502236,1364,19.0,29.0,47.9179,109.001,1.0,0.932551,1.0,0.653725,1.20308,1.17156
FBtr0347397.1,588047,588579,532,3274.0,3274.0,37.1053,57.1353,1.0,0.971805,0.4774436090225564,0.0823609,0.0815545,0.142376
FBtr0347397,588047,588784,737,3274.0,3274.0,34.3826,49.559,1.0,0.971506,0.6227951153324288,0.0817056,0.112186,0.159198
FBtr0445834.1,588147,588579,432,3274.0,26.0,35.8796,52.9954,1.0,0.981481,0.35648148148148145,0.0734954,0.0669838,0.153563
FBtr0445834,588147,588784,637,3274.0,26.0,33.124,45.562,1.0,0.978022,0.5635792778649922,0.0755903,0.107113,0.169425
FBtr0347397.2,588646,588784,138,11.0,5.0,29.2754,22.3986,1.0,0.963768,1.0,0.0482536,0.209949,0.203275
FBtr0445834.2,588646,588784,138,11.0,5.0,29.2754,22.3986,1.0,0.963768,1.0,0.0482536,0.209949,0.203275
FBtr0343219,605913,606412,499,120.0,120.0,49.6593,115.802,1.0,0.933868,0.5150300601202404,0.637315,1.22539,1.39218
FBtr0343219.1,605913,606412,499,120.0,120.0,49.6593,115.802,1.0,0.933868,0.5150300601202404,0.637315,1.22539,1.39218
FBtr0310101,608339,609134,795,13.0,41.0,46.6415,33.7585,1.0,0.87044,0.4276729559748428,0.74183,1.642,1.75269
FBtr0310101.1,608339,609134,795,13.0,41.0,46.6415,33.7585,1.0,0.87044,0.4276729559748428,0.74183,1.642,1.75269
FBtr0343248,623106,623665,559,33.0,8.0,48.8014,160.537,1.0,0.876565,0.7155635062611807,0.696369,1.6829,2.1614
FBtr0343248.1,623106,623665,559,33.0,8.0,48.8014,160.537,1.0,0.876565,0.7155635062611807,0.696369,1.6829,2.1614
FBtr0343250,623899,624323,424,48.0,5.0,46.3208,111.67,1.0,0.959906,0.9174528301886793,0.747033,1.54827,1.79505
FBtr0343250.1,623899,624323,424,48.0,5.0,46.3208,111.67,1.0,0.959906,0.9174528301886793,0.747033,1.54827,1.79505
FBtr0345777,628728,629052,324,3.0,4.0,38.8889,70.7932,1.0,0.944444,1.0,0.426852,0.742,0.670596
FBtr0345777.1,628728,629052,324,3.0,4.0,38.8889,70.7932,1.0,0.944444,1.0,0.426852,0.742,0.670596
FBtr0344054.1,710567,710667,100,18.0,8.0,43.0,7.2,1.0,0.99,1.0,0.88687,2.47715,2.72318
FBtr0344054,710567,715307,4740,18.0,106349.0,41.7426,87.1021,1.0,0.943882,0.8561181434599157,0.62998,1.28375,1.3227
FBtr0344054.2,714858,715307,449,4.0,106349.0,51.804,412.114,1.0,0.846325,1.0,0.772245,1.46188,1.65198
FBtr0347592.2,721984,724015,2031,5.0,9.0,47.2181,63.8306,1.0,0.919744,0.8311176760216642,0.588272,1.36381,1.56037
FBtr0347592,721984,724833,2849,109.0,9.0,47.7782,67.0968,1.0,0.928747,0.687960687960688,0.601763,1.35799,1.54194
FBtr0347592.1,724080,724833,753,109.0,7.0,50.3586,57.9004,1.0,0.949535,0.2749003984063745,0.682705,1.46125,1.63174
FBtr0342660,772513,773093,580,24.0,24.0,49.4483,97.4241,0.9241379310344827,0.922414,0.41206896551724137,0.672136,1.09714,1.10441
FBtr0342660.1,772513,773093,580,24.0,24.0,49.4483,97.4241,0.9241379310344827,0.922414,0.41206896551724137,0.672136,1.09714,1.10441
FBtr0345453,799855,800323,468,67.0,67.0,44.6581,9.92949,1.0,0.972222,0.19230769230769232,0.441626,0.556622,0.53565
FBtr0345453.1,799855,800323,468,67.0,67.0,44.6581,9.92949,1.0,0.972222,0.19230769230769232,0.441626,0.556622,0.53565
FBtr0334793,850701,851163,462,101.0,105434.0,47.6623,738.569,1.0,0.906926,1.0,0.763089,0.824279,0.832535
FBtr0334793.1,850701,851163,462,101.0,105434.0,47.6623,738.569,1.0,0.906926,1.0,0.763089,0.824279,0.832535
FBtr0445831,857402,860079,2677,3429.0,3429.0,48.375,113.271,1.0,0.906238,0.8595442659693687,0.514294,1.04235,1.29934
FBtr0445831.1,857402,860079,2677,3429.0,3429.0,48.375,113.271,1.0,0.906238,0.8595442659693687,0.514294,1.04235,1.29934
FBtr0345739,897452,898050,598,7.0,4.0,48.4281,56.0351,1.0,0.91806,1.0,0.772736,1.97504,2.19693
FBtr0345739.1,897452,898050,598,7.0,4.0,48.4281,56.0351,1.0,0.91806,1.0,0.772736,1.97504,2.19693
FBtr0345455,904028,904347,319,22.0,22.0,53.8558,75.3824,1.0,0.949843,0.3573667711598746,0.64453,1.52914,1.71331
FBtr0345455.1,904028,904347,319,22.0,22.0,53.8558,75.3824,1.0,0.949843,0.3573667711598746,0.64453,1.52914,1.71331
FBtr0334798,912980,913305,325,5.0,8.0,45.2308,3.23358,1.0,0.815385,1.0,0.752969,1.40165,1.36387
FBtr0334798.1,912980,913305,325,5.0,8.0,45.2308,3.23358,1.0,0.815385,1.0,0.752969,1.40165,1.36387
FBtr0343253.3,987806,989104,1298,3.0,6.0,53.2357,27.1459,1.0,0.929122,0.8343605546995377,0.643292,1.0166,1.02099
FBtr0445830.3,987806,989357,1551,3.0,6.0,52.1857,23.5009,1.0,0.931657,0.8613797549967763,0.653375,1.04506,1.06018
FBtr0343253,987806,991300,3494,48.0,32.0,49.6737,15.4915,1.0,0.923011,0.7135088723526045,0.61961,1.02288,1.04602
FBtr0445830,987806,991300,3494,48.0,32.0,49.6737,15.4915,1.0,0.923011,0.7135088723526045,0.61961,1.02288,1.04602
FBtr0343253.2,989416,990311,895,32.0,32.0,52.4022,10.3377,1.0,0.913966,0.9050279329608939,0.618473,0.947925,1.02602
FBtr0445830.2,989771,990311,540,32.0,32.0,53.3333,12.5441,1.0,0.875926,0.8425925925925926,0.542217,0.897133,1.0277
FBtr0343253.1,990869,991300,431,48.0,23.0,42.5058,2.31323,1.0,0.890951,0.29698375870069604,0.631619,1.09412,1.00351
FBtr0445830.1,990869,991300,431,48.0,23.0,42.5058,2.31323,1.0,0.890951,0.29698375870069604,0.631619,1.09412,1.00351
FBtr0479958.1,1019658,1021829,2171,2.0,14.0,48.9268,30.9333,0.9907876554583142,0.921695,0.4643021649009673,0.646691,1.10794,1.10003
FBtr0479958,1019658,1028737,9079,2.0,16217.0,44.6305,44.4755,0.9977971142196277,0.935125,0.5119506553585197,0.537134,0.964863,0.906064
FBtr0479958.2,1021941,1023502,1561,5.0,9.0,44.3946,78.1684,1.0,0.936579,0.43946188340807174,0.490368,0.848507,0.754862
FBtr0479958.3,1024583,1028737,4154,1.0,16217.0,43.6447,32.8304,1.0,0.936688,0.5630717380837746,0.507423,0.937944,0.872756
FBtr0346497,1142868,1143216,348,269.0,99999.0,50.0575,802.977,1.0,0.962644,1.0,0.640026,1.00859,0.954534
FBtr0346497.1,1142868,1143216,348,269.0,99999.0,50.0575,802.977,1.0,0.962644,1.0,0.640026,1.00859,0.954534
FBtr0331290,1158575,1159355,780,38.0,31602.0,55.0,315.532,1.0,0.889744,1.0,0.650273,1.03745,1.48106
FBtr0331290.1,1158575,1159355,780,38.0,31602.0,55.0,315.532,1.0,0.889744,1.0,0.650273,1.03745,1.48106
FBtr0345742,1214648,1215293,645,5.0,12.0,45.3953,84.8248,1.0,0.911628,1.0,0.69527,1.4933,1.95667
FBtr0345742.1,1214648,1215293,645,5.0,12.0,45.3953,84.8248,1.0,0.911628,1.0,0.69527,1.4933,1.95667
FBtr0306546.2,1216853,1217384,531,3.0,38.0,46.064,209.055,1.0,0.922787,0.4915254237288136,0.712328,1.49079,1.53411
FBtr0306546,1216853,1217785,932,2.0,38.0,43.4979,253.138,1.0,0.932403,0.7103004291845494,0.776459,1.65291,1.67347
FBtr0306546.1,1217484,1217785,301,2.0,5.0,39.7342,279.515,1.0,0.943522,1.0,0.848744,1.50414,1.34795
FBtr0344105,1345500,1345840,340,2.0,3.0,48.5294,26.5412,0.0,0.958824,1.0,0.868412,1.7579,1.87418
FBtr0344105.1,1345500,1345840,340,2.0,3.0,48.5294,26.5412,0.0,0.958824,1.0,0.868412,1.7579,1.87418
FBtr0344104,1345964,1346331,367,184.0,71.0,47.7929,122.619,0.0,0.844687,0.5395095367847411,0.485529,0.770823,0.540324
FBtr0344104.1,1345964,1346331,367,184.0,71.0,47.7929,122.619,0.0,0.844687,0.5395095367847411,0.485529,0.770823,0.540324
FBtr0343843,1380082,1381326,1244,1726.0,923.0,34.9839,16.9118,1.0,0.976688,0.8311897106109325,0.842273,1.671,1.62036
FBtr0343843.1,1380082,1381326,1244,1726.0,923.0,34.9839,16.9118,1.0,0.976688,0.8311897106109325,0.842273,1.671,1.62036
FBtr0343840,1381210,1382796,1586,23.0,1726.0,55.4351,21.2648,0.7288776796973518,0.872636,1.0,0.775376,1.63134,2.71625
FBtr0343840.1,1381210,1382796,1586,23.0,1726.0,55.4351,21.2648,0.7288776796973518,0.872636,1.0,0.775376,1.63134,2.71625
FBtr0334819.1,1500829,1501054,225,26.0,14.0,37.9556,3.64444,1.0,0.973333,0.76,0.675658,1.13779,2.02682
FBtr0334819,1500829,1504204,3375,26.0,1654.0,45.8489,151.418,1.0,0.934815,0.984,0.65386,1.30484,2.52567
FBtr0334819.2,1501123,1501429,306,3.0,7.0,56.6013,14.9641,1.0,0.862745,1.0,0.86216,2.02899,6.21208
FBtr0334819.3,1503569,1504204,635,4.0,4.0,44.4724,72.7669,1.0,0.949606,1.0,0.717825,1.24183,1.24168
FBtr0342645.2,1618636,1619970,1334,9.0,63.0,45.907,78.983,1.0,0.942279,0.7511244377811095,0.577063,0.955501,0.913579
FBtr0342645,1618636,1626021,7385,9.0,74.0,45.0102,80.9586,0.8885578876100203,0.938253,0.8159783344617468,0.594154,1.15872,1.19893
FBtr0342646.2,1619411,1619970,559,9.0,63.0,44.4365,101.948,1.0,0.914132,1.0,0.67227,1.0131,0.997753
FBtr0342646,1619411,1623478,4067,6.0,63.0,42.6555,75.7183,1.0,0.939267,0.8701745758544381,0.609867,1.17387,1.1737
FBtr0342646.1,1620039,1623478,3439,6.0,13.0,42.4426,72.5006,1.0,0.943588,0.8464669962198313,0.60022,1.20651,1.20669
FBtr0342645.1,1620039,1626021,5982,9.0,74.0,44.8813,76.4768,0.8624205951186894,0.93564,0.8283182881979271,0.598069,1.20761,1.26537
FBtr0346473,1646931,1647163,232,27.0,27.0,46.8103,41.3664,1.0,0.974138,0.017241379310344827,0.744789,1.12608,1.13833
FBtr0346473.1,1646931,1647163,232,27.0,27.0,46.8103,41.3664,1.0,0.974138,0.017241379310344827,0.744789,1.12608,1.13833
FBtr0344040.1,1708451,1708739,288,66.0,124.0,54.5833,82.2465,1.0,0.899306,1.0,0.772097,2.11875,7.45542
FBtr0344040,1708451,1709244,793,66.0,380.0,49.8108,51.5271,1.0,0.889029,1.0,0.756264,2.21577,7.42561
FBtr0344040.2,1708809,1709244,435,5.0,380.0,48.4598,30.6483,1.0,0.878161,1.0,0.859747,2.62466,8.58225
FBtr0334828,1839493,1839896,403,497.0,497.0,35.5335,45.464,1.0,0.975186,0.5880893300248139,0.92803,1.62603,1.6561
FBtr0334828.1,1839493,1839896,403,497.0,497.0,35.5335,45.464,1.0,0.975186,0.5880893300248139,0.92803,1.62603,1.6561
FBtr0334827.2,1840069,1840530,461,5.0,7.0,33.8829,2.82213,1.0,0.969631,0.754880694143167,0.418065,0.693403,0.657803
FBtr0334827,1840069,1840808,739,329.0,329.0,38.6198,2.54533,1.0,0.929635,0.5277401894451962,0.528816,0.88165,0.925336
FBtr0334827.1,1840585,1840808,223,329.0,329.0,45.8296,2.35426,1.0,0.852018,0.0,0.725511,1.24483,1.44769
FBtr0334825,1872692,1873511,819,77.0,13.0,48.7668,5.61905,1.0,0.943834,0.5201465201465202,0.781532,1.43298,1.39853
FBtr0334825.1,1872692,1873511,819,77.0,13.0,48.7668,5.61905,1.0,0.943834,0.5201465201465202,0.781532,1.43298,1.39853
FBtr0304139.1,1989449,1989841,392,2.0,783.0,46.9388,266.839,1.0,0.920918,1.0,0.667018,0.955505,0.942908
FBtr0304139,1989449,1990894,1445,2.0,783.0,45.7716,190.112,1.0,0.921107,0.859515570934256,0.61937,1.03719,1.0113
FBtr0304139.2,1989912,1990894,982,5.0,15.0,45.9063,72.8299,1.0,0.917515,0.7932790224032586,0.572836,0.972749,0.946494
FBtr0309284.1,2000057,2000351,294,500.0,11.0,43.1973,17.0986,1.0,0.911565,0.46598639455782315,0.602119,0.786626,0.775228
FBtr0309284,2000057,2003935,3878,500.0,13.0,44.3424,7.16819,0.5412583806085611,0.941723,0.7292418772563177,0.560869,0.963798,1.49028
FBtr0309284.2,2000413,2001210,797,1.0,13.0,49.1593,10.0347,1.0,0.912171,0.6863237139272271,0.626073,1.20811,2.21208
FBtr0309284.3,2001402,2001953,551,9.0,9.0,47.2595,7.94555,1.0,0.91833,0.9074410163339383,0.700073,1.20099,1.7594
FBtr0309284.4,2002032,2002346,314,1.0,9.0,49.5541,1.44586,0.39490445859872614,0.952229,1.0,0.743586,1.28752,2.41351
FBtr0309284.5,2003444,2003935,491,3.0,7.0,38.167,4.8167,0.0,0.953157,1.0,0.527965,0.791951,0.688862
FBtr0346492,2006866,2007688,822,2.0,52616.0,50.9732,19.8735,1.0,0.959854,0.7554744525547445,0.899752,1.54707,1.69837
FBtr0346492.1,2006866,2007688,822,2.0,52616.0,50.9732,19.8735,1.0,0.959854,0.7554744525547445,0.899752,1.54707,1.69837
FBtr0345564,2044516,2045381,865,162.0,58.0,49.6185,216.059,1.0,0.978035,1.0,0.588658,1.01648,1.00517
FBtr0345564.1,2044516,2045381,865,162.0,58.0,49.6185,216.059,1.0,0.978035,1.0,0.588658,1.01648,1.00517
FBtr0343304,2082030,2082347,317,14.0,14.0,42.3344,5.88013,1.0,0.962145,0.0,0.766366,1.58732,1.60409
FBtr0343304.1,2082030,2082347,317,14.0,14.0,42.3344,5.88013,1.0,0.962145,0.0,0.766366,1.58732,1.60409
FBtr0334780.1,2083361,2084225,864,378.0,64.0,45.0926,14.5933,1.0,0.938657,0.30092592592592593,0.557674,1.08577,1.10766
FBtr0334780,2083361,2084419,1058,378.0,64.0,43.4216,48.0625,1.0,0.94518,0.4017013232514178,0.566734,1.0634,1.07278
FBtr0334780.2,2084277,2084419,142,2.0,5.0,39.4366,93.0493,1.0,0.978873,1.0,0.721817,1.23445,1.26348
FBtr0334810.1,2181961,2184233,2272,1157.0,347.0,46.3204,140.232,0.17913732394366197,0.924296,0.7944542253521126,0.658001,1.17693,1.12712
FBtr0334810,2181961,2185495,3534,1157.0,347.0,46.1969,103.801,0.2362761743067346,0.91313,0.7076966610073571,0.638296,1.17482,1.16469
FBtr0334810.2,2184362,2185495,1133,4.0,14.0,46.9726,42.449,0.37775816416593117,0.890556,0.500441306266549,0.621776,1.22397,1.29562
FBtr0334812,2186974,2187970,996,51.0,51.0,52.1285,39.1588,1.0,0.910643,0.22791164658634538,0.743659,1.61665,3.06411
FBtr0334812.1,2186974,2187970,996,51.0,51.0,52.1285,39.1588,1.0,0.910643,0.22791164658634538,0.743659,1.61665,3.06411
FBtr0345556.2,2188619,2189154,535,21.0,59.0,53.7944,140.054,1.0,0.900935,1.0,0.751105,1.38294,1.4804
FBtr0345556,2188619,2189405,786,611.0,611.0,48.626,212.982,1.0,0.926209,1.0,0.69736,1.32923,1.47473
FBtr0345556.1,2189342,2189405,63,611.0,611.0,51.746,254.635,1.0,1.0,1.0,0.913349,1.31102,1.50975
FBtr0334811,2190190,2191272,1082,92.0,660.0,48.9279,24.4646,1.0,0.906654,1.0,0.802501,1.93886,4.36379
FBtr0334811.1,2190190,2191272,1082,92.0,660.0,48.9279,24.4646,1.0,0.906654,1.0,0.802501,1.93886,4.36379
FBtr0335164.2,2226752,2227305,553,176.0,16170.0,51.3201,645.747,1.0,0.958409,1.0,0.822848,1.89661,4.19305
FBtr0335164,2226752,2227604,852,51.0,16170.0,48.9671,725.71,1.0,0.961268,1.0,0.743303,1.51011,2.98187
FBtr0335164.1,2227363,2227604,241,51.0,158.0,45.8921,491.05,1.0,0.975104,1.0,0.569585,0.735353,0.661535
FBtr0335158,2236346,2237022,676,31.0,41424.0,52.6627,596.417,1.0,0.934911,0.9423076923076923,0.71566,1.32461,1.49774
FBtr0335158.1,2236346,2237022,676,31.0,41424.0,52.6627,596.417,1.0,0.934911,0.9423076923076923,0.71566,1.32461,1.49774
FBtr0304029.1,2245229,2245494,265,1774.0,1774.0,38.566,1.27925,1.0,0.943396,1.0,0.140585,0.280026,0.149838
FBtr0309033.1,2245229,2245494,265,1774.0,1774.0,38.566,1.27925,1.0,0.943396,1.0,0.140585,0.280026,0.149838
FBtr0335160.1,2245229,2245494,265,1774.0,1774.0,38.566,1.27925,1.0,0.943396,1.0,0.140585,0.280026,0.149838
FBtr0304029,2245229,2245901,672,1774.0,1774.0,41.25,1.60714,1.0,0.91369,1.0,0.44976,0.953147,0.879317
FBtr0309033,2245229,2246207,978,1774.0,1774.0,41.6564,2.23722,0.9928425357873211,0.920245,0.6973415132924335,0.415697,0.776144,0.626607
FBtr0335160,2245229,2247383,2154,1774.0,1774.0,42.6555,7.01545,0.4507892293407614,0.940111,0.4883936861652739,0.615729,1.16055,1.0831
FBtr0304029.2,2245544,2245901,357,5.0,5.0,43.3613,1.92157,1.0,0.896359,1.0,0.69386,1.54669,1.50149
FBtr0335160.2,2245544,2247383,1839,5.0,9.0,43.3061,7.70373,0.356715606307776,0.941272,0.40076128330614463,0.691544,1.3113,1.23879
FBtr0309033.2,2245550,2246207,657,5.0,5.0,43.0441,2.71233,0.989345509893455,0.916286,0.5494672754946728,0.52823,1.00552,0.839342
FBtr0343233,2257634,2258000,366,4.0,10.0,53.3333,21.459,0.0,0.948087,0.8797814207650273,0.746107,1.50981,1.84501
FBtr0343233.1,2257634,2258000,366,4.0,10.0,53.3333,21.459,0.0,0.948087,0.8797814207650273,0.746107,1.50981,1.84501
FBtr0343232,2259395,2259730,335,8.0,4.0,37.3134,2.25075,0.06865671641791045,0.925373,0.8805970149253731,0.771191,1.34616,1.08589
FBtr0343232.1,2259395,2259730,335,8.0,4.0,37.3134,2.25075,0.06865671641791045,0.925373,0.8805970149253731,0.771191,1.34616,1.08589
FBtr0330690.2,2271318,2272500,1182,2.0,3.0,42.9272,15.6863,1.0,0.960237,0.3553299492385787,0.620509,1.25397,1.18288
FBtr0330690,2271318,2279714,8396,102.0,30.0,41.5722,32.708,0.6954502143878037,0.956289,0.5547879942829919,0.642639,1.22305,1.13999
FBtr0330689.2,2275917,2276391,474,1.0,6.0,42.1519,11.9451,0.0,0.989451,0.16877637130801687,0.778947,1.39485,1.45375
FBtr0330689,2275917,2279714,3797,102.0,30.0,40.5057,37.4439,0.3365815117197788,0.972083,0.3918883328943903,0.663907,1.18734,1.09868
FBtr0330688.2,2278117,2279251,1134,3.0,6.0,43.2628,25.1792,0.718694885361552,0.970899,0.5044091710758377,0.647923,1.21467,1.14241
FBtr0330688,2278117,2279714,1597,102.0,30.0,42.0789,74.078,0.8002504696305573,0.971196,0.4495929868503444,0.676473,1.25491,1.17452
FBtr0330688.1,2279629,2279714,85,102.0,30.0,41.4118,232.659,1.0,1.0,0.6823529411764706,0.610129,0.960906,0.750565
FBtr0330689.1,2279629,2279714,85,102.0,30.0,41.4118,232.659,1.0,1.0,0.6823529411764706,0.610129,0.960906,0.750565
FBtr0330690.1,2279629,2279714,85,102.0,30.0,41.4118,232.659,1.0,1.0,0.6823529411764706,0.610129,0.960906,0.750565
FBtr0335161.2,2283704,2284325,621,542.0,542.0,41.4171,3.81953,1.0,0.951691,0.4669887278582931,0.575003,0.965881,0.838565
FBtr0335161,2283704,2285003,1299,236.0,542.0,43.0639,3.08237,1.0,0.950731,0.32948421862971516,0.524314,0.804933,0.680662
FBtr0330687.2,2283784,2284325,541,542.0,542.0,43.3272,3.98869,1.0,0.944547,0.44731977818853974,0.659774,1.12045,0.964098
FBtr0330687,2283784,2285003,1219,236.0,542.0,44.0197,2.99504,1.0,0.956522,0.3117309269893355,0.55861,0.862967,0.726011
FBtr0335161.1,2284494,2285003,509,236.0,4.0,49.0766,2.15779,1.0,0.972495,0.15717092337917485,0.599149,0.846633,0.741061
